Order,Nome
1,Servprint
2,Partido Liberal - Comitê de Caucaia
3,Colégio Provecto
4,Colégio Ari de Sá Cavalcante
5,Chico do Caranguejo
6,Colégio Christus
7,Colégio 7 de Setembro
8,PSDB Partido da Social Democracia Brasileira
9,Colégio Santa Cecília
10,Cantinho do Frango
11,Restaurante Brazão
12,Partido dos Trabalhadores Diretório Estadual do Ceará
13,Carneiro do Ordones
14,União Brasil Fortaleza
15,Republicanos Ceará
16,Colégio Santo Tomás de Aquino
17,Partido Verde - Ceará
18,Colégio Lourenço Filho
19,Outback Steakhouse
20,Santa Grelha Iguatemi
21,Colégio Antares
22,Diretório Estadual do Partido Novo Ceará
23,Partido Democrático Trabalhista | PDT Ceará
24,Colégio Master
25,MDB
26,Coco Bambu
27,Colégio Farias Brito Central
28,Misaki
29,Cervejaria Turatti
30,Avante
31,Mangue Azul
32,Servprint
